"names","avgs","df","sd","idf"
"thump",72.2727272727273,11,21.2340846548141,11.9219761411457
"good",62.6276545540349,2119,20.9949382102968,4.33223988741084
"ode",65.4722222222222,36,22.7879207833949,10.2114827583407
"friendship",74.3389830508475,59,16.3596091112838,9.49876471042116
"hope",64.3728813559322,295,23.132638429397,7.1768366155338
"wit",67.0551558752998,417,23.4576380817044,6.67750418633834
"wile",64.2727272727273,11,24.4737764711642,11.9219761411457
"wisdom",75.1463414634146,41,21.3120173488624,10.0238557551649
"brim",77.3939393939394,33,27.6949660445787,10.3370136404246
"crackl",72.82,50,21.8019720415235,9.73755157000828
"charact",63.7859007832898,2298,22.0413969235685,4.21524467713689
"top",69.1144278606965,201,23.8792884678702,7.73035606860408
"twisteroo",90,2,15.142135623731,14.381407759783
"twist",62.2010050251256,398,21.2684701099879,6.74478313923936
"sinc",67.4580777096115,489,25.6886095141029,6.44771710483077
"cri",65.561797752809,89,22.0718225557797,8.90567432881661
"game",58.5418604651163,430,22.5036586311711,6.63321491019355
"nobul",78.4285714285714,7,15.2461356497957,12.5740528377254
"perform",69.3764940239044,2008,20.1199159545116,4.40986420583223
"hold",67.501976284585,253,18.3755494388242,7.3984141850887
"back",63.5674157303371,534,21.4600499869042,6.32071182809545
"flood",62.3636363636364,11,33.3365821548064,11.9219761411457
"banal",49.8904109589041,73,23.8762137770482,9.19158320090299
"robbin",65.3333333333333,15,22.2390027566088,11.4745171641745
"freeman",60.9622641509434,53,19.7092760458456,9.65348730521981
"connect",64.20625,160,20.6868876564449,8.05947966489564
"bruis",76.1470588235294,34,18.1784437735577,10.2939449185327
"soul",68.7605042016807,238,23.1042169773898,7.48658999647506
"andi",52.8064516129032,31,21.0805367704463,10.4272114493961
"red",58.5530303030303,132,21.2500831753789,8.33701364042455
"creat",71.4987012987013,385,21.6692863773922,6.79269312420074
"someth",63.8109640831758,1058,22.6137547049824,5.33428384766898
"undeni",66.3853211009174,109,16.1528681167777,8.61322343500608
"power",75.78955954323,613,19.6245082920169,6.12166449609223
"move",71.1816513761468,545,20.7687465252532,6.29129534011872
"time",63.6168949771689,2190,22.6037826291074,4.28469260529447
"poignant",77.5957446808511,94,17.7108998933612,8.82681890810537
"joy",73.8607594936709,158,21.6652014818568,8.0776270116059
"terrifi",67.3013698630137,73,24.2872669854787,9.19158320090299
"shawshank",75.5,4,19.1567251085284,13.381407759783
"redempt",63.2586206896552,58,20.3223444373439,9.52342676465543
"altogeth",66.1224489795918,49,20.7564679842042,9.7666979156678
"brilliant",81.1443298969072,291,19.3103454970633,7.19653241687472
"movi",62.9518554581846,9243,23.7356865985393,2.2072622920225
"debut",67.9448818897638,254,20.2161851604418,7.39272307301084
"equal",69.2669902912621,206,21.1364026062715,7.69490723259979
"director",62.6147859922179,1542,22.8882357066238,4.79082070986797
"film",65.4466898954704,7175,23.1481231403528,2.57264464333259
"perhap",65.6403162055336,253,23.1327406667911,7.3984141850887
"littl",58.9039172209904,1353,20.655718510067,4.97946163580647
"slow",59.4470588235294,170,21.6987441418501,7.9720168236453
"middl",62.4878048780488,164,20.0399927195165,8.02385575516492
"passag",76.15,20,24.8554308061575,11.0594796648956
"mayb",57.5671641791045,268,22.8450271207323,7.31531856932523
"part",63.2686567164179,737,20.7295162753536,5.85588695068794
"idea",56.7106796116505,515,22.7045912795233,6.37297913771243
"give",64.6895161290323,992,21.3888132147632,5.42721144939613
"us",66.8324652777778,1152,23.471386686938,5.21148275834069
"sens",62.6996466431095,849,22.0532907024839,5.65178701622997
"leaden",43.6341463414634,41,18.2376856009747,10.0238557551649
"glori",67.0128205128205,78,21.8529132100047,9.09600554092076
"final",64.7372742200328,609,21.1115296483073,6.13110934187667
"everi",61.8634730538922,835,25.6414683317479,5.67577537242159
"facet",69.3636363636364,11,25.662817062423,11.9219761411457
"shine",71.83,100,18.0602349386407,8.73755157000828
"place",65.0085106382979,470,22.1483724848481,6.50489081321801
"word",61.9700996677741,301,23.7426714127878,7.1477880830233
"charg",70.2777777777778,72,20.3122760507347,9.21148275834069
"reson",72.9424460431655,139,19.3507571159105,8.2624666870595
"uptight",61.75,8,25.1350367722943,12.381407759783
"banker",54.3333333333333,6,23.1148517215618,12.7964452590618
"subtlest",90.8,5,11.3295692068934,13.0594796648956
"act",64.9740518962076,1002,23.3398803733191,5.4127409665878
"date",64.3064516129032,186,22.1669722659727,7.84224894867497
"harden",70.5,14,15.9550608876676,11.5740528377254
"resili",80.3333333333333,15,13.9375790772831,11.4745171641745
"friend",61.4901960784314,153,19.6131382740437,8.12401991709035
"simpli",63.9780564263323,319,24.5341880576194,7.06399514601814
"miracul",74.7307692307692,26,26.1691202743484,10.6809680416419
"role",65.8167456556082,633,20.64860378072,6.07534607035466
"much",59.7237093690249,2092,21.1426797757568,4.35074062353607
"depth",66.0508474576271,177,20.8566656962641,7.91380220970001
"digniti",58.6538461538462,52,21.1269350455753,9.68096804164191
"humor",65.2122699386503,815,20.9862445725498,5.71075151066457
"feel",60.9347116430903,1838,21.8048736673975,4.53748670849397
"youv",59.2397959183673,196,24.1261567518683,7.7666979156678
"known",61.9605263157895,76,23.6088129067546,9.13348024633942
"man",65.3271523178808,755,22.3612416244168,5.82107492557057
"forev",62.3207547169811,53,24.9918043577911,9.65348730521981
"whitmor",88,1,1,15.381407759783
"brook",63.9649122807018,57,23.9510075349029,9.54851774561826
"brilliantlyr",88,1,1,15.381407759783
"scene",59.7316209034544,1129,22.1546081933371,5.24057798901001
"attempt",53.362676056338,284,21.9375349261834,7.23166064027832
"cope",67.6923076923077,13,23.547670298668,11.6809680416419
"life",67.3995703544576,931,22.9475268606528,5.51877040222421
"outsid",66.8961038961039,77,22.0791643295262,9.11462121908811
"repres",66.1530612244898,98,26.1249873737739,8.7666979156678
"one",64.3555104113763,3938,24.6310879426731,3.43816036388145
"effect",63.0845864661654,1064,21.3190540594808,5.32612532428182
"sequenc",61.219298245614,456,20.7726679026877,6.54851774561827
"come",62.3171670515781,1299,23.2684858055728,5.03822204433513
"across",62.0065789473684,152,20.9481104054668,8.13348024633942
"outrag",69.1268656716418,134,21.0695863277069,8.31531856932523
"improb",64.8518518518518,54,19.203677222761,9.62652025761954
"yet",65.5336538461538,832,22.4725374572349,5.68096804164191
"keep",65.0266821345708,862,19.6984874676613,5.62986370069391
"pull",67.2178988326848,257,20.2611369635946,7.37578321058913
"strive",58.9761904761905,42,19.8647148947551,9.98909033700425
"human",69.125,680,22.9354513968217,5.9720168236453
"slowli",65.1698113207547,53,18.3113300482845,9.65348730521981
"turn",62.9431051108968,1037,22.2403428704071,5.36320758096978
"tabl",56.3939393939394,33,20.5527162338436,10.3370136404246
"evil",59.8540145985401,137,24.4004588146275,8.28337567682248
"kudo",66.0625,16,15.789495145767,11.381407759783
"go",60.0119453924915,1172,22.2705284931495,5.18665090536076
"great",71.2480988593156,1052,21.2033959660524,5.3424887704907
"thoma",61.3766233766234,77,22.9952380977045,9.11462121908811
"newman",77,11,18.6974574445032,11.9219761411457
"whose",63.264483627204,397,22.4527451811165,6.74841256264005
"score",67.1551724137931,174,20.15057619152,7.93846426393428
"contribut",69.9038461538462,52,21.421307226488,9.68096804164191
"either",56.7466666666667,300,21.0646735825798,7.15258906928713
"lead",61.3690721649485,485,20.9518498946837,6.45956682270852
"twocharact",57,5,25.6475150877325,13.0594796648956
"though",60.6875515251443,1213,19.1816689960485,5.1370439246625
